name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,night_range
Nice room with superb city view,Nuttee,Ratchathewi,13.75983,100.54134,Entire home/apt,1905,3,65,2020-01-06,0.5,2,353,0,Week 1
"Easy going landlord,easy place",Emy,Bang Na,13.66818,100.61674,Private room,1316,1,0,,0.0,2,358,0,Week 1
Spacious one bedroom at The Kris Condo Bldg. 3,Sirilak,Din Daeng,13.78823,100.57256,Private room,1286,7,2,2022-04-01,0.03,1,323,1,Week 1
Suite Room 3 at MetroPoint,Kasem,Bang Kapi,13.76872,100.63338,Private room,1905,1,0,,0.0,3,365,0,Week 1
Condo with Chaopraya River View,Athitaya,Rat Burana,13.68556,100.49535,Private room,1558,3,1,2014-02-03,0.01,1,365,0,Week 1
1 chic bedroom apartment in BKK,Jiraporn,Chatu Chak,13.82925,100.56737,Entire home/apt,1461,1,0,,0.0,1,365,0,Week 1
"Batcave, Pool view, near Chatuchak",Nol,Chatu Chak,13.81693,100.56433,Entire home/apt,1558,3,10,2016-03-29,0.09,1,365,0,Week 1
Standard Room Decor do Hostel,Somsak,Khlong San,13.7204,100.50757,Private room,700,2,4,2019-12-27,0.03,10,87,0,Week 1
Sathorn Terrace Apartment(61),Tor,Bang Rak,13.71934,100.5176,Private room,1150,2,27,2019-01-03,0.19,7,320,0,Week 1
2BR apt in a cozy neighborhood,Jing,Phaya Thai,13.77486,100.54272,Entire home/apt,1893,15,129,2022-09-30,1.17,1,356,1,Week 3
Comfy bedroom near River pier & BTS  Taksin.,Tor,Sathon,13.71802,100.51539,Hotel room,1862,2,208,2019-12-02,1.44,7,361,0,Week 1
budget hotel bangkok near subway,Mimi,Din Daeng,13.77941,100.57383,Entire home/apt,910,2,3,2018-07-30,0.02,2,365,0,Week 1
"Deluxe Condo, Nana, Pool/GYM/Sauna",Natcha,Khlong Toei,13.71516,100.56806,Entire home/apt,1400,30,0,,0.0,1,365,0,Week 4
Luxury@swimpool/FreeWiFi/nearJJMkt,Srisuk,Phaya Thai,13.79152,100.53982,Private room,4156,1,0,,0.0,1,365,0,Week 1
Nice and Quiet condo near BTS Onnut,Piyakorn,Khlong Toei,13.70719,100.59936,Entire home/apt,1577,30,78,2019-05-31,0.78,1,330,0,Week 4
"24Flr- 1br Apt near JJ, MRT, BTS",Sue,Chatu Chak,13.82298,100.56484,Entire home/apt,122594,2,9,2020-03-04,0.09,6,180,0,Week 1
Central Bangkok 3 Bedroom Apartment,Henry,Khlong Toei,13.73378,100.56303,Entire home/apt,5680,28,148,2020-01-07,1.08,1,334,0,Week 4
The Duplex - Asoke- Luxury 92sqm,Timo,Vadhana,13.74668,100.56137,Entire home/apt,5034,21,287,2022-11-22,2.59,1,349,3,Week 3
"New, Stylish & Luxury Studio Condo",Pat,Sai Mai,13.9077,100.64473,Private room,1500,1,0,,0.0,1,365,0,Week 1
River View - Ivy Condo (1 Bedroom),Muay,Rat Burana,13.68568,100.49231,Private room,1385,30,0,,0.0,1,365,0,Week 4
Siamese Gioia on Sukhumvit 31,Chuchart,Vadhana,13.74444,100.57003,Private room,3775,30,3,2018-12-24,0.05,1,364,0,Week 4
Pan Dao Condo 5 min from BTS On Nut,Dustin,Khlong Toei,13.70441,100.59968,Entire home/apt,1732,2,3,2013-10-09,0.02,1,364,0,Week 1
1 BR condominium center BKK +NETFLIX+55SQM,Sudhichai,Ratchathewi,13.75351,100.53308,Entire home/apt,2000,27,76,2018-04-05,0.7,1,263,0,Week 4
1 penthouse in central Bangkok,Anya,Ratchathewi,13.7547,100.53268,Entire home/apt,3082,1,0,,0.0,1,365,0,Week 1
"MetroPoint Suite Room, Near Airport",Kasem,Bang Kapi,13.76747,100.63287,Private room,1190,1,0,,0.0,3,365,0,Week 1
Boutique Rooms Near Bangkok Airport,Parinya,Lat Krabang,13.721868,100.771713,Private room,1329,1,28,2022-11-25,0.28,1,349,13,Week 1
BangLuang House1 @ Bangkok Thailand,วสวัตติ์,Bangkok Yai,13.73292,100.46413,Private room,2078,1,76,2019-12-31,0.64,3,350,0,Week 1
Studio near Chula University/Silom walk to MRT/BTS,Gael,Bang Rak,13.7285,100.52313,Entire home/apt,1176,7,63,2022-11-25,0.47,2,95,2,Week 1
